lon,lat,name,shop,opening_hours,brand,amenity
113.9402074,22.5439651,华润万家,supermarket,07:30-23:30,华润万家,
113.9468644,22.5415382,7-Eleven,convenience,24/7,7-Eleven,
113.9117195,22.4865264,7-Eleven,convenience,24/7,7-Eleven,
113.9086781,22.4840936,International,supermarket,10:30-21:30,,
113.9082151,22.482853,,laundry,10:00-18:00,,
113.9346924,22.5259898,7-Eleven,convenience,24/7,7-Eleven,
113.9229079,22.5290386,百里臣,convenience,24/7,,
113.9710569,22.5398506,Apple Store,electronics,Su-Th 10:00-22:00; Fr-Sa 10:00 - 22:30,Apple Store,
113.9625997,22.5384974,,convenience,24/7,,
113.9328924,22.5356953,自助水果店,greengrocer,24/7,,
113.9301361,22.5201275,A BITE,supermarket,Mo-Su 10:00-22:00,ABITE市集,
113.9141178,22.4951446,山雀,bakery,Tu-Su 09:00-19:00,,
113.932701,22.5208698,曼思諾,bakery,Mo-Su 07:00-23:00,,
113.9131559,22.5428119,Backerei Thomas德國麵包世家（南新店）,bakery,06:00-21:30,,
113.9359629,22.4923853,花花公子,florist,Mo-Su 10:00-22:00,,
113.9619272,22.5381958,,convenience,24/7,,
113.9943646,22.6044297,学生宿舍13栋,convenience,Mo-Su 08:00-19:00,,post_office
113.9395938,22.5841942,罗森,convenience,24/7,罗森,
113.9452999,22.5880603,丽新印务,copyshop,Mo-Su 08:30-22:00,,
113.9324524,22.5195663,Tidoo Park 踢倒公园,yes,Mo-Su 10:00-22:00,,
